deletion_rate	grand_mean	grand_mean_lb	grand_mean_ub	sample_size_for_rma_calc	imputation_method	data_size	effect_size
0.2	-0.111326824972926	-0.159639423502173	-0.0630142264436782	487	sample	1	ROM
0.21	-0.102733228885454	-0.149735507379332	-0.0557309503915762	487	sample	1	ROM
0.21	-0.0921268201610635	-0.134982437350865	-0.0492712029712623	487	sample	1	ROM
0.22	-0.0979734484991	-0.141046376489716	-0.0549005205084837	487	sample	1	ROM
0.22	NA	NA	NA	NA	sample	1	ROM
0.23	-0.105084681125353	-0.15372735787346	-0.0564420043772452	487	sample	1	ROM
0.23	-0.102684299062561	-0.150243243237739	-0.0551253548873834	487	sample	1	ROM
0.24	-0.105537557252448	-0.153757783357988	-0.0573173311469079	487	sample	1	ROM
0.24	-0.109767840614472	-0.158573819697594	-0.06096186153135	487	sample	1	ROM
0.25	-0.109282287210299	-0.158200919523072	-0.0603636548975273	487	sample	1	ROM
0.25	-0.111955466655774	-0.160883303556472	-0.063027629755075	487	sample	1	ROM
0.26	-0.118418508052994	-0.170992548980641	-0.0658444671253475	487	sample	1	ROM
0.26	NA	NA	NA	NA	sample	1	ROM
0.27	NA	NA	NA	NA	sample	1	ROM
0.27	NA	NA	NA	NA	sample	1	ROM
0.28	-0.11005637673012	-0.159237428673443	-0.0608753247867957	487	sample	1	ROM
0.28	-0.116621349026276	-0.168981956832387	-0.0642607412201652	487	sample	1	ROM
0.29	-0.119254483312657	-0.172019556873434	-0.0664894097518811	487	sample	1	ROM
0.29	-0.113641010900971	-0.162853879077121	-0.0644281427248208	487	sample	1	ROM
0.3	-0.112089371459605	-0.162997846057845	-0.0611808968613649	487	sample	1	ROM
0.3	-0.11102377271035	-0.160339232978079	-0.0617083124426221	487	sample	1	ROM
0.31	-0.112244736496538	-0.162199829174696	-0.0622896438183798	487	sample	1	ROM
0.31	-0.110790976977873	-0.159804614682797	-0.061777339272948	487	sample	1	ROM
0.32	-0.116523446223754	-0.167064492298238	-0.0659824001492697	487	sample	1	ROM
0.32	NA	NA	NA	NA	sample	1	ROM
0.33	-0.115855163500072	-0.16541588520048	-0.0662944417996629	487	sample	1	ROM
0.33	-0.110974327812305	-0.160564621215746	-0.0613840344088634	487	sample	1	ROM
0.34	-0.108689038183832	-0.158298378111421	-0.0590796982562439	487	sample	1	ROM
0.34	-0.114165151521699	-0.164381621397622	-0.0639486816457752	487	sample	1	ROM
0.35	-0.11598714238364	-0.168903147105511	-0.0630711376617689	487	sample	1	ROM
0.35	NA	NA	NA	NA	sample	1	ROM
0.36	-0.106517815020123	-0.155740471539788	-0.0572951585004588	487	sample	1	ROM
0.36	NA	NA	NA	NA	sample	1	ROM
0.37	NA	NA	NA	NA	sample	1	ROM
0.37	-0.109009916007248	-0.158627635311836	-0.0593921967026609	487	sample	1	ROM
0.38	-0.109247787168171	-0.159085366431094	-0.0594102079052492	487	sample	1	ROM
0.38	-0.114358540738074	-0.165278694423635	-0.063438387052514	487	sample	1	ROM
0.39	-0.107862873132419	-0.157583351946198	-0.0581423943186404	487	sample	1	ROM
0.39	-0.114433864312399	-0.164722101754528	-0.0641456268702711	487	sample	1	ROM
0.4	NA	NA	NA	NA	sample	1	ROM
0.4	-0.108145686007321	-0.157824152921645	-0.0584672190929961	487	sample	1	ROM
0.41	-0.111952684792442	-0.162112912602578	-0.0617924569823072	487	sample	1	ROM
0.41	-0.110769557901254	-0.160742278017267	-0.06079683778524	487	sample	1	ROM
0.42	NA	NA	NA	NA	sample	1	ROM
0.42	-0.115234081818061	-0.166192529474079	-0.0642756341620431	487	sample	1	ROM
0.43	-0.107326720364109	-0.158611658950721	-0.056041781777497	487	sample	1	ROM
0.43	-0.112049652922651	-0.161959635693094	-0.0621396701522081	487	sample	1	ROM
0.44	-0.114759147615391	-0.164834482326671	-0.0646838129041118	487	sample	1	ROM
0.44	-0.119640459599134	-0.173298420322727	-0.0659824988755409	487	sample	1	ROM
0.45	-0.104011182380807	-0.153989850964306	-0.0540325137973087	487	sample	1	ROM
0.45	-0.110634447946491	-0.162488582758005	-0.0587803131349773	487	sample	1	ROM
0.46	NA	NA	NA	NA	sample	1	ROM
0.46	-0.115488343590424	-0.16717905915326	-0.0637976280275885	487	sample	1	ROM
0.47	-0.115850950168066	-0.166250914515602	-0.06545098582053	487	sample	1	ROM
0.47	-0.0942777769592626	-0.137881523550521	-0.0506740303680044	487	sample	1	ROM
0.48	-0.126150920634181	-0.181956980010108	-0.0703448612582532	487	sample	1	ROM
0.48	-0.117001479530872	-0.169149618840978	-0.0648533402207647	487	sample	1	ROM
0.49	-0.112862847822356	-0.161743229172954	-0.063982466471757	487	sample	1	ROM
0.49	NA	NA	NA	NA	sample	1	ROM
0.5	-0.114023316499269	-0.16509342584492	-0.0629532071536185	487	sample	1	ROM
0.5	-0.0971602896322897	-0.141404348376819	-0.0529162308877601	487	sample	1	ROM
0.51	-0.110106812854699	-0.16170141628628	-0.0585122094231184	487	sample	1	ROM
0.51	NA	NA	NA	NA	sample	1	ROM
0.52	-0.116984491425256	-0.167935142706937	-0.0660338401435754	487	sample	1	ROM
0.52	-0.094004280265692	-0.139095169941494	-0.04891339058989	487	sample	1	ROM
0.53	-0.105404336544806	-0.155788301607789	-0.0550203714818237	487	sample	1	ROM
0.53	-0.108082229156697	-0.157676610859113	-0.0584878474542817	487	sample	1	ROM
0.54	-0.108423679290833	-0.158868620185455	-0.0579787383962113	487	sample	1	ROM
0.54	NA	NA	NA	NA	sample	1	ROM
0.55	-0.110127512540157	-0.160276106680453	-0.0599789183998609	487	sample	1	ROM
0.55	-0.109587752262524	-0.162131956216091	-0.057043548308957	487	sample	1	ROM
0.56	-0.0978611943263908	-0.143922625755629	-0.051799762897153	487	sample	1	ROM
0.56	-0.120986723228632	-0.174934090772567	-0.0670393556846965	487	sample	1	ROM
0.57	-0.106523787996002	-0.157597938076746	-0.055449637915258	487	sample	1	ROM
0.57	-0.111121811177224	-0.163015670137275	-0.0592279522171731	487	sample	1	ROM
0.58	NA	NA	NA	NA	sample	1	ROM
0.58	-0.115312984249255	-0.167118240086618	-0.0635077284118926	487	sample	1	ROM
0.59	-0.115417128587683	-0.167249201892671	-0.0635850552826955	487	sample	1	ROM
0.59	-0.102295151826727	-0.147984670852529	-0.0566056328009255	487	sample	1	ROM
0.6	NA	NA	NA	NA	sample	1	ROM
0.6	NA	NA	NA	NA	sample	1	ROM
0.61	-0.115365435945387	-0.166527749166158	-0.0642031227246165	487	sample	1	ROM
0.61	-0.108282396770445	-0.159693278287134	-0.0568715152537549	487	sample	1	ROM
0.62	-0.0977892428542464	-0.144119548389718	-0.0514589373187748	487	sample	1	ROM
0.62	-0.114405105354186	-0.167704211575228	-0.0611059991331436	487	sample	1	ROM
